Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-24,745.0,745.5,725.3,732.05,736.1,19413.0,143.16
2017-08-23,743.35,752.75,739.05,740.0,740.95,9989.0,74.4
2017-08-22,751.7,767.0,740.0,741.1,743.35,20531.0,154.66
2017-08-21,765.5,773.0,749.55,751.1,751.7,11102.0,84.27
2017-08-18,773.75,776.0,748.7,770.2,773.35,20999.0,161.78
2017-08-17,747.95,780.0,741.05,777.0,775.75,44351.0,339.84
2017-08-16,738.1,750.0,738.1,743.0,741.75,18117.0,134.87
2017-08-14,726.3,743.0,726.3,737.0,738.05,11650.0,85.89
2017-08-11,735.0,800.0,724.55,740.0,737.5,23821.0,178.56
2017-08-10,760.0,777.75,740.0,744.35,746.35,13667.0,103.14
2017-08-09,771.0,779.05,760.0,760.05,763.4,12303.0,94.64
2017-08-08,779.0,780.0,770.05,777.0,777.05,17131.0,133.04
2017-08-07,775.5,780.0,770.1,775.0,779.45,18023.0,139.99
2017-08-04,778.45,778.45,765.0,775.0,775.0,15294.0,118.09
2017-08-03,775.7,780.45,760.0,774.5,778.45,35079.0,271.62
2017-08-02,774.0,778.0,768.0,768.1,772.15,16829.0,130.36
2017-08-01,766.0,780.0,759.95,773.0,774.95,61371.0,474.67
2017-07-31,760.0,766.0,760.0,766.0,764.3,23669.0,180.6
2017-07-28,770.0,774.9,759.0,760.0,762.2,75790.0,577.23
2017-07-27,770.4,775.0,758.2,767.5,767.35,69016.0,526.75
2017-07-26,771.0,784.0,763.05,770.0,770.4,104644.0,814.27
2017-07-25,765.0,780.0,765.0,772.5,770.15,53100.0,408.87
2017-07-24,768.0,781.1,750.0,763.3,764.5,57680.0,441.47
2017-07-21,779.05,779.95,761.0,770.0,768.3,59267.0,455.73
2017-07-20,790.0,791.95,780.0,785.0,784.25,24191.0,189.55
2017-07-19,786.7,792.65,786.7,790.0,790.05,83740.0,661.51
2017-07-18,772.5,793.8,771.1,784.75,786.05,24089.0,188.66
2017-07-17,774.55,779.95,771.5,775.0,773.5,19288.0,149.32
2017-07-14,782.1,790.0,779.0,779.05,780.1,24248.0,189.97
2017-07-13,788.0,795.75,783.1,789.0,786.1,28646.0,225.79
2017-07-12,786.0,791.0,785.7,785.7,787.15,16588.0,130.73
2017-07-11,788.15,799.45,785.0,785.0,785.35,22549.0,177.92
2017-07-10,787.5,791.95,785.0,790.0,787.55,3550.0,27.96
2017-07-07,786.0,798.0,783.05,792.1,795.85,34789.0,276.1
2017-07-06,798.0,804.75,786.5,786.7,788.75,19303.0,153.27
2017-07-05,789.0,802.0,780.0,796.05,798.25,72050.0,569.91
2017-07-04,787.0,796.25,784.0,785.0,785.2,26303.0,207.4
2017-07-03,789.1,793.85,783.75,787.55,789.85,28480.0,225.03
2017-06-30,786.2,804.0,777.1,789.0,788.75,34206.0,270.3
2017-06-29,807.5,809.3,783.85,786.0,786.2,50169.0,397.23
2017-06-28,783.1,805.15,783.1,787.0,789.9,89654.0,710.67
2017-06-27,796.4,806.65,781.3,784.0,783.85,90164.0,715.77
2017-06-23,800.0,822.4,800.0,807.5,806.85,82985.0,670.55
2017-06-22,831.9,842.0,811.25,823.0,817.95,52127.0,433.51
2017-06-21,817.5,834.85,815.0,834.85,828.15,26124.0,215.19
2017-06-20,822.05,835.0,810.0,817.6,822.85,26481.0,219.71
2017-06-19,802.0,835.0,792.6,823.0,826.45,121016.0,999.69
2017-06-16,805.35,809.0,792.65,803.95,803.95,28281.0,227.2
2017-06-15,795.0,809.6,787.2,805.0,805.35,76282.0,608.71
2017-06-14,800.0,800.0,786.0,791.8,791.55,17016.0,135.35
2017-06-13,790.0,800.0,784.35,795.0,796.45,59736.0,474.94
2017-06-12,794.0,802.8,782.85,785.9,789.05,17027.0,135.4
2017-06-09,793.7,803.7,785.3,800.0,800.35,32370.0,258.86
2017-06-08,788.85,803.0,788.85,793.5,793.25,43011.0,342.42
2017-06-07,784.0,806.0,780.5,806.0,802.15,129135.0,1033.44
2017-06-06,782.0,793.95,778.9,787.4,786.5,22018.0,172.86
2017-06-05,780.0,795.0,777.45,782.05,782.85,15958.0,125.55
2017-06-02,797.45,803.0,781.0,783.0,783.9,24057.0,190.23
2017-06-01,800.4,809.0,786.6,791.55,792.1,39176.0,313.54
2017-05-31,775.0,808.65,768.75,801.0,800.6,294100.0,2344.24
2017-05-30,777.0,784.15,762.0,762.25,767.9,25420.0,197.16
2017-05-29,785.0,795.15,772.1,776.0,775.2,54667.0,426.58
2017-05-26,790.0,799.0,787.1,795.0,796.35,61208.0,487.45
2017-05-25,776.0,795.0,776.0,793.0,788.4,36242.0,284.73
2017-05-24,774.25,793.0,772.0,777.0,775.1,84767.0,662.78
2017-05-23,779.1,790.0,766.0,772.0,772.9,48272.0,373.89
2017-05-22,765.35,788.0,765.35,780.0,781.15,69383.0,542.56
2017-05-19,783.0,785.0,761.25,777.7,774.25,42279.0,326.22
2017-05-18,767.3,785.7,766.0,776.25,776.65,58734.0,456.79
2017-05-17,777.0,780.0,770.35,775.35,777.95,91355.0,709.66
2017-05-16,763.0,775.0,755.5,772.5,773.2,103084.0,795.07
2017-05-15,756.0,770.0,756.0,761.05,763.15,141963.0,1086.53
2017-05-12,735.5,765.0,735.5,751.2,755.85,119771.0,902.23
2017-05-11,752.0,752.05,742.0,747.3,747.65,57039.0,426.32
2017-05-10,750.0,754.2,745.6,752.0,751.4,96324.0,723.14
2017-05-09,741.15,751.7,740.0,746.1,748.4,95328.0,711.66
2017-05-08,736.0,748.3,736.0,741.1,741.15,128390.0,953.39
2017-05-05,716.0,745.0,716.0,733.5,733.2,337812.0,2474.55
2017-05-04,710.0,719.8,705.0,708.25,708.9,21383.0,152.02
2017-05-03,705.55,718.0,705.55,709.3,709.95,24792.0,176.51
2017-05-02,706.05,713.85,706.05,712.0,711.05,19893.0,141.34
2017-04-28,713.0,717.95,705.65,708.0,709.5,16571.0,118.02
2017-04-27,725.0,725.0,710.5,710.5,713.15,23956.0,171.85
2017-04-26,721.0,726.0,715.0,717.45,716.85,28422.0,204.91
2017-04-25,725.0,728.9,718.0,721.0,723.4,37811.0,273.55
2017-04-24,725.0,729.0,723.8,725.2,725.0,62729.0,455.1
2017-04-21,724.5,726.9,716.95,725.95,725.4,87795.0,636.27
2017-04-20,702.0,722.5,701.8,720.05,718.85,42679.0,305.26
2017-04-19,700.3,711.0,700.25,708.0,709.8,53483.0,379.14
2017-04-18,709.1,713.0,705.0,706.0,707.55,21393.0,151.58
2017-04-17,715.05,723.0,707.05,710.5,709.2,18290.0,130.31
2017-04-13,712.7,725.0,693.9,722.0,717.6,159957.0,1141.19
2017-04-12,713.1,719.0,710.0,715.0,713.5,27888.0,199.28
2017-04-11,720.1,724.2,713.1,715.5,718.3,23460.0,168.4
2017-04-10,710.0,727.0,710.0,723.0,722.6,130522.0,941.86
2017-04-07,712.85,717.2,709.0,709.0,710.85,31852.0,227.32
2017-04-06,717.0,718.8,713.1,714.0,716.75,16636.0,119.03
2017-04-05,716.1,725.55,712.0,719.9,718.1,49361.0,355.04
2017-04-03,705.05,727.8,705.05,718.0,722.25,103660.0,748.37
2017-03-31,717.5,723.05,711.1,711.1,714.85,69806.0,500.14
2017-03-30,712.0,725.0,710.5,717.25,716.95,201126.0,1447.02
